Project ID,Project Name,Project local script,Fuel type,Country/Area,Subnational unit,Production Type,Status,Status detail,Status year,Discovery year,FID Year,Production start year,Operator,Owner(s),Parent(s),Government unit ID,Units (list of IDs),Wiki URL (project),Name Other,Latitude,Longitude,Location accuracy,Project location type,Onshore/Offshore,Project outline (WKT),Basin,Block(s)
L100000312999,"Kuparuk Satellites Oil and Gas Project (Alaska, United States)",,oil and gas,United States,Alaska,,operating,,2021,,,,ConocoPhillips,ConocoPhillips Corp [98%]; Exxon Mobil Corp [0%],ConocoPhillips Corp [98.4%]; Exxon Mobil Corp [0.6%],,,"https://www.gem.wiki/Kuparuk_Satellites_Oil_and_Gas_Project_(Alaska,_United_States)",,70.3122000,-149.7203000,approximate,project level location,onshore,,,
L100000312071,Kurdistan Oil and Gas Project (Iraq),,oil and gas,Iraq,,conventional,operating,,2020,,,,,,,,"L100000311984, L100000312071, L100000311973",https://www.gem.wiki/Kurdistan_Oil_and_Gas_Project_(Iraq),,35.7500000,44.8510000,approximate,project level location,onshore,,,
L100000318032,Kutubu Oil Project (Papua New Guinea),,oil,Papua New Guinea,,conventional,operating,,2023,1986,,1992,Oil Search (PNG),ENEOS Xplora Inc [15%]; Marubeni [3%]; Santos Ltd [60%]; Mineral Resources Development Corp [7%]; Exxon Mobil Corp [14%],Santos Ltd [60.0%]; ENEOS Holdings Inc [15.0%]; Exxon Mobil Corp [14.0%]; Mineral Resources Development Corp [7.0%]; Marubeni [3.8%],,L100000318032,https://www.gem.wiki/Kutubu_Oil_Project_(Papua_New_Guinea),,-6.4382000,143.1935000,exact,project level location,onshore,,,PDL 2
L100000313156,Lake Albert Development Oil Project (Uganda),,oil,Uganda,,conventional,in-development,,2025,,2022,,,TotalEnergies SE [56%]; CNOOC Ltd [28%]; Uganda National Oil Co [15%],TotalEnergies SE [56.7%]; CNOOC Ltd [28.3%]; Uganda National Oil Co [15.0%],,"L100000313155, L100000313154, L100000313156",https://www.gem.wiki/Lake_Albert_Development_Oil_Project_(Uganda),,2.3046000,31.4273000,exact,project level location,onshore,,,3A; CA-1; LA-2
L100000320947,"Lewis Oil Project (Alberta, Canada)",,oil,Canada,Alberta,unconventional,discovered,,2024,2024,,,Suncor Energy,Suncor Energy Inc [100%],Suncor Energy Inc [100.0%],,L100000320947,"https://www.gem.wiki/Lewis_Oil_Project_(Alberta,_Canada)",Lewis SAGD Oil Sands,57.0180000,-111.1183000,approximate,project level location,onshore,,,
L100000310821,"Liaohe Oil and Gas Project (Liaoning, China)",辽河,oil and gas,China,Liaoning,conventional,operating,,2025,1965,,1980,PetroChina Liaohe Oilfield,PetroChina Liaohe Oilfield Co [100%],PetroChina Co Ltd [100.0%],,"L100000319172, L100000310821, L100000311282, L100000319171","https://www.gem.wiki/Liaohe_Oil_and_Gas_Project_(Liaoning,_China)",,41.2411000,121.4792000,approximate,project level location,onshore,,Bohai Bay,
L100000319014,Libertador Oil and Gas Project (Ecuador),Activo Libertador,oil and gas,Ecuador,,conventional,operating,,2018,,,,EP Petroecuador,,,,L100000319014,https://www.gem.wiki/Libertador_Oil_and_Gas_Project_(Ecuador),,,,,,onshore,,,B57 - LIBERTADOR
L100000317467,Litchendjili Oil and Gas Project (Republic of the Congo),,oil and gas,Republic of the Congo,,conventional,operating,,2024,,,,Eni,LUKOIL PJSC [25%]; Eni SpA [65%]; Société Nationale Des Pétroles Du Congo [10%],Eni SpA [65.0%]; LUKOIL PJSC [25.0%]; Société Nationale Des Pétroles Du Congo [10.0%],,"L100000317464, L100000317457, L100000317463",https://www.gem.wiki/Litchendjili_Oil_and_Gas_Project_(Republic_of_the_Congo),,-4.6732000,11.6478000,approximate,project level location,offshore,,,
L100000321260,"Liuhua 11-1/4-1 Redevelopment Oil Project (South China Sea, China)",流花11-1/4-1二次开发,oil,China,South China Sea,conventional,operating,,2025,,,2024,CNOOC,CNOOC Ltd [100%],CNOOC Ltd [100.0%],,,"https://www.gem.wiki/Liuhua_11-1/4-1_Redevelopment_Oil_Project_(South_China_Sea,_China)",,20.8383330,115.7316670,exact,project level location,offshore,,Zhujiangkou,
L100000324239,Longtail-Turbot Oil and Gas Project (Guyana),,oil and gas,Guyana,,conventional,discovered,,2024,,,,ExxonMobil Guyana,CNOOC Petroleum Guyana Ltd [25%]; Hess Guyana Exploration Ltd [30%]; ExxonMobil Guyana Ltd [45%],Hess Corp [30.0%]; China National Offshore Oil Corp; Exxon Mobil Corp,,"L100000313090, L100000313085, L100000313088, L100001082598",https://www.gem.wiki/Longtail-Turbot_Oil_and_Gas_Project_(Guyana),,7.8200000,-56.5600000,approximate,project level location,offshore,,,Stabroek; Stabroek Block
L100000320700,"Loran-Manatee Gas Project (Venezuela, Trinidad and Tobago)",Loran-Manatee,gas,Venezuela,,conventional,in-development,,2023,1983,2023,,Shell,Shell PLC [100%],Shell PLC [100.0%],,"L100000318398, L100000320451, L100000320700","https://www.gem.wiki/Loran-Manatee_Gas_Project_(Venezuela,_Trinidad_and_Tobago)",,9.9694000,-60.1511000,approximate,project level location,offshore,,Columbus,Block 6
L100000312287,Lower Zakum Oil and Gas Project (United Arab Emirates),زاكوم السفلي,oil and gas,United Arab Emirates,,conventional,operating,,2025,1963,,1967,ADNOC Offshore,China National Petroleum Corp [10%]; Other [10%]; ONGC [10%]; INPEX Corp [10%]; Abu Dhabi National Oil Co [60%],Abu Dhabi National Oil Co [60.0%]; China National Petroleum Corp [10.0%]; INPEX Corp [10.0%]; ONGC [10.0%]; Other [10.0%],,"L100000317627, L100000312287, L100000317626",https://www.gem.wiki/Lower_Zakum_Oil_and_Gas_Project_(United_Arab_Emirates),,24.8530000,53.6620000,approximate,project level location,offshore,,,Lower Zakum
L100000321284,"Lufeng Field Cluster II Oil Project (South China Sea, China)",陆丰油田群二期,oil,China,South China Sea,conventional,operating,ramp up,2024,,,2024,CNOOC,CNOOC Ltd [100%],CNOOC Ltd [100.0%],,L100000321284,"https://www.gem.wiki/Lufeng_Field_Cluster_II_Oil_Project_(South_China_Sea,_China)",,21.6672000,116.3214000,exact,project level location,offshore,,,
L100000312553,Mabrouk Oil and Gas Project (Oman),مبروك,oil and gas,Oman,,conventional,operating,,2023,,,,Petroleum Development Oman,Petroleum Development Oman LLC [100%],Energy Development Oman SAOC [60.0%]; Shell PLC [34.0%]; small shareholder(s) [6.0%],,"L100000312531, L100000312532, L100000312533, L100000312553, L100000312530, L100000312529",https://www.gem.wiki/Mabrouk_Oil_and_Gas_Project_(Oman),,20.3293000,56.0697000,approximate,project level location,onshore,,,Block 10; Block 6
L100000324221,Madura Strait Block Oil and Gas Project (Indonesia),,oil and gas,Indonesia,,conventional,operating,,2024,1987,,2017,HUSKY-CNOOC MADURA,CNOOC Southeast Asia Ltd [40%]; Samudra Energy [20%]; Cenovus Energy Inc [40%],Cenovus Energy Inc [40.0%]; CNOOC Southeast Asia Ltd [40.0%]; Northstar Group [20.0%],,"L100000312844, L100000312845, L100000312846, L100000312889, L100000312882",https://www.gem.wiki/Madura_Strait_Block_Oil_and_Gas_Project_(Indonesia),,-7.3720000,114.4160000,approximate,project level location,offshore,"MULTIPOLYGON (((113.8773 -7.387769,113.738811 -7.3875,113.738811 -7.417919,113.514719 -7.417919,113.514781 -7.386189,113.398661 -7.386061,113.398639 -7.399039,113.253611 -7.398819,113.253419 -7.507689,113.478619 -7.50785,113.478611 -7.583611,113.229169 -7.583611,113.229161 -7.409961,113.17095 -7.40985,113.170861 -7.4335,113.096111 -7.433461,113.096111 -7.388469,113.211111 -7.261669,113.332219 -7.34,113.487 -7.340061,113.486811 -7.371539,113.533411 -7.371589,113.533431 -7.385269,113.57975 -7.385269,113.5797 -7.397061,113.687981 -7.397119,113.687869 -7.367069,113.778231 -7.367139,113.778231 -7.31905,113.743919 -7.319011,113.743889 -7.230469,113.775919 -7.230461,113.775919 -7.237031,113.798181 -7.237039,113.798161 -7.246839,113.8132 -7.246861,113.813161 -7.350611,113.853381 -7.350681,113.853361 -7.369669,113.8772 -7.369711,113.8773 -7.387769)),((114.9 -7.236461,114.9 -7.457781,114.611661 -7.457781,114.611661 -7.561919,114.499989 -7.561919,114.500269 -7.544461,114.424019 -7.544539,114.42395 -7.477519,114.534911 -7.4774,114.534919 -7.498269,114.585281 -7.498189,114.60825 -7.498194,114.60825 -7.453333,114.74625 -7.453333,114.74625 -7.440169,114.746189 -7.405169,114.894361 -7.404881,114.894161 -7.304889,114.762739 -7.305131,114.762789 -7.336469,114.618789 -7.336689,114.618811 -7.354331,114.451619 -7.354331,114.451619 -7.34215,114.427969 -7.342181,114.427939 -7.303289,114.6474 -7.303031,114.647319 -7.254431,114.600911 -7.254519,114.600911 -7.246939,114.498081 -7.247,114.498081 -7.181667,114.685933 -7.181667,114.685933 -7.158161,114.796661 -7.158139,114.796839 -7.256519,114.770089 -7.256569,114.770139 -7.292511,114.85065 -7.292369,114.850489 -7.261281,114.872469 -7.261239,114.872419 -7.236389,114.9 -7.236461)),((114.418419 -7.387489,114.23125 -7.387569,114.2313 -7.365639,114.117061 -7.365619,114.117061 -7.35805,114.036019 -7.358031,114.03605 -7.3197,114.117531 -7.319681,114.117611 -7.298019,114.184231 -7.297961,114.184231 -7.31295,114.250519 -7.312919,114.250519 -7.295669,114.340211 -7.295611,114.340261 -7.343439,114.407089 -7.343389,114.407111 -7.356061,114.418389 -7.35605,114.418419 -7.387489)))",,Madura Strait
L100000318174,Mahakam Block Oil and Gas Project (Indonesia),,oil and gas,Indonesia,,conventional,operating,,2024,,,1974,PT Pertamina Hulu Mahakam,PT Pertamina Hulu Mahakam [90%]; PT Migas Mandiri Pratama Kutai Mahakam [10%],PT Pertamina Hulu Mahakam [90.0%]; PT Migas Mandiri Pratama Kutai Mahakam [10.0%],,"L100000312835, L100000312851, L100000312904, L100000312859, L100000312866, L100000312860",https://www.gem.wiki/Mahakam_Block_Oil_and_Gas_Project_(Indonesia),,-0.9300000,117.4500000,approximate,project level location,offshore,"MULTIPOLYGON (((117.567033 -0.332886,117.567035 -0.299657,117.583671 -0.299657,117.583671 -0.291258,117.600369 -0.291258,117.600369 -0.283658,117.624167 -0.283658,117.624167 -0.306111,117.676389 -0.306111,117.676389 -0.283333,117.684722 -0.283333,117.684722 -0.25,117.725353 -0.25,117.725353 -0.27466,117.708655 -0.27466,117.708655 -0.291258,117.7 -0.291258,117.7 -0.332961,117.691957 -0.332954,117.691979 -0.366221,117.683685 -0.366221,117.683658 -0.457941,117.675359 -0.457941,117.675359 -0.46621,117.667023 -0.46621,117.667022 -0.55793,117.658661 -0.55793,117.658661 -0.6,117.65 -0.6,117.65 -0.633333,117.641964 -0.633333,117.641964 -0.65,117.633333 -0.65,117.633333 -0.75,117.616667 -0.75,117.616667 -0.783333,117.6 -0.783333,117.6 -0.816667,117.583333 -0.816667,117.583333 -0.85,117.566667 -0.85,117.566667 -0.883333,117.550368 -0.883333,117.550375 -0.991185,117.541976 -0.991185,117.541976 -1.016183,117.533677 -1.016183,117.533677 -1.032881,117.525378 -1.032881,117.525378 -1.04118,117.516979 -1.04118,117.516979 -1.049479,117.50868 -1.049479,117.50868 -1.066177,117.500381 -1.066177,117.500381 -1.074476,117.491982 -1.074476,117.491982 -1.082876,117.483683 -1.082876,117.483683 -1.091175,117.475384 -1.091175,117.475384 -1.107873,117.466985 -1.107873,117.466985 -1.116172,117.458686 -1.116172,117.458686 -1.13287,117.450387 -1.13287,117.450387 -1.141169,117.441989 -1.141169,117.441989 -1.150023,117.416667 -1.150023,117.416667 -1.166684,117.4 -1.166684,117.4 -1.183345,117.383333 -1.183345,117.383333 -1.216667,117.333333 -1.216667,117.333333 -1.183345,117.3 -1.183345,117.3 -1.166684,117.283333 -1.166684,117.283328 -1.125127,117.333333 -0.991745,117.316911 -0.974639,117.333731 -0.966159,117.333731 -0.957889,117.342001 -0.957889,117.342001 -0.949494,117.350396 -0.949493,117.350396 -0.932891,117.358699 -0.932891,117.358699 -0.916163,117.36706 -0.916162,117.36706 -0.899495,117.375397 -0.899495,117.375397 -0.882896,117.383725 -0.882896,117.383725 -0.857899,117.391995 -0.857899,117.392045 -0.841151,117.400394 -0.841151,117.400394 -0.816203,117.408693 -0.816203,117.408693 -0.799507,117.417054 -0.799508,117.417054 -0.774508,117.425391 -0.774508,117.425391 -0.766209,117.433718 -0.766182,117.433717 -0.71618,117.450382 -0.71618,117.450381 -0.682851,117.467047 -0.682851,117.467047 -0.65792,117.475384 -0.65792,117.475384 -0.632923,117.483711 -0.632923,117.483711 -0.607925,117.491982 -0.607925,117.491982 -0.566201,117.500388 -0.566201,117.500379 -0.46621,117.517043 -0.46621,117.517046 -0.432877,117.533706 -0.432876,117.53371 -0.399547,117.550384 -0.399546,117.55038 -0.36625,117.558674 -0.36625,117.558674 -0.332954,117.567033 -0.332886)),((117.247895 -0.908333,117.249264 -0.905878,117.252118 -0.901359,117.250732 -0.893445,117.2507 -0.89325,117.2506 -0.89274,117.2501 -0.88645,117.2498 -0.88245,117.2496 -0.87897,117.25026 -0.872289,117.250673 -0.861137,117.2509 -0.85145,117.251 -0.84853,117.2508 -0.84619,117.2507 -0.84351,117.2506 -0.84019,117.2505 -0.83745,117.2506 -0.83529,117.250845 -0.832812,117.251175 -0.829123,117.252738 -0.813841,117.263373 -0.810649,117.2638 -0.81087,117.272154 -0.805786,117.2783 -0.79644,117.283172 -0.774205,117.282747 -0.77414,117.283153 -0.77414,117.283209 -0.773416,117.283618 -0.76471,117.2836 -0.76404,117.2835 -0.76096,117.2833 -0.75365,117.2833 -0.74904,117.284326 -0.745374,117.28527 -0.74442,117.286945 -0.730607,117.286981 -0.728255,117.287307 -0.722848,117.288857 -0.717116,117.289004 -0.716667,117.308705 -0.716667,117.308705 -0.641222,117.316667 -0.641222,117.316667 -0.607925,117.325403 -0.607925,117.325403 -0.591635,117.344444 -0.585019,117.349075 -0.585465,117.3501 -0.58427,117.3497 -0.58318,117.3486 -0.58204,117.3487 -0.58095,117.3492 -0.57993,117.3498 -0.57924,117.3506 -0.57839,117.3518 -0.57765,117.3535 -0.57714,117.3551 -0.57657,117.3566 -0.57617,117.3586 -0.57555,117.3603 -0.57516,117.3618 -0.57511,117.3636 -0.57511,117.3653 -0.575,117.3701 -0.57262,117.3774 -0.56607,117.3785 -0.56481,117.379197 -0.564119,117.380148 -0.563087,117.3809 -0.56219,117.3823 -0.56065,117.3836 -0.55911,117.3849 -0.55757,117.3864 -0.55598,117.388 -0.55427,117.3891 -0.55325,117.39 -0.55239,117.3927 -0.55012,117.3941 -0.54915,117.3951 -0.54846,117.3963 -0.54772,117.3973 -0.5471,117.3988 -0.54664,117.4007 -0.54643,117.4026 -0.54625,117.4039 -0.54603,117.404118 -0.545984,117.4114 -0.54268,117.4139 -0.5388,117.4149 -0.53698,117.416 -0.53515,117.4173 -0.53322,117.4186 -0.53162,117.419442 -0.530722,117.4201 -0.53002,117.422592 -0.527895,117.427 -0.52394,117.43 -0.51863,117.4295 -0.5172,117.4304 -0.51703,117.4314 -0.516,117.4324 -0.51418,117.4378 -0.50192,117.4384 -0.49644,117.4369 -0.48787,117.4374 -0.48615,117.4379 -0.48501,117.4392 -0.48279,117.441019 -0.480619,117.440869 -0.481095,117.44087 -0.481094,117.44102 -0.480618,117.4423 -0.47909,117.4433 -0.47789,117.4504 -0.46997,117.4543 -0.46232,117.4551 -0.45336,117.4534 -0.44988,117.4511 -0.44861,117.4505 -0.44816,117.4499 -0.4477,117.4488 -0.44746,117.4477 -0.44717,117.4462 -0.44655,117.4452 -0.44574,117.4443 -0.44431,117.4439 -0.44288,117.4439 -0.4414,117.4436 -0.44077,117.4432 -0.4406,117.4427 -0.44071,117.442 -0.44105,117.4414 -0.44151,117.4406 -0.44231,117.4395 -0.44288,117.438 -0.44338,117.4367 -0.44344,117.4359 -0.44292,117.4355 -0.44189,117.4351 -0.44052,117.4345 -0.43972,117.4336 -0.43914,117.4323 -0.43909,117.4307 -0.43925,117.4287 -0.4393,117.4274 -0.43919,117.4261 -0.43855,117.4252 -0.43787,117.4245 -0.43621,117.4243 -0.43523,117.4248 -0.43381,117.4252 -0.4329,117.4259 -0.43216,117.4274 -0.43165,117.4294 -0.43148,117.4315 -0.43177,117.4333 -0.43195,117.4348 -0.43178,117.4362 -0.43058,117.4371 -0.42887,117.4374 -0.42751,117.4374 -0.42556,117.437 -0.42374,117.4361 -0.42282,117.4352 -0.42219,117.4344 -0.4219,117.4321 -0.4207,117.4313 -0.41961,117.4309 -0.41846,117.4307 -0.41658,117.431 -0.41504,117.4313 -0.41258,117.4311 -0.4103,117.4298 -0.40676,117.429 -0.40441,117.4288 -0.40304,117.4291 -0.40128,117.4299 -0.39962,117.4305 -0.39865,117.4334 -0.39689,117.4347 -0.39637,117.4357 -0.39569,117.4364 -0.39483,117.4366 -0.39352,117.4364 -0.39278,117.4357 -0.39164,117.4352 -0.39089,117.4347 -0.38963,117.4346 -0.38855,117.4349 -0.38689,117.4359 -0.38541,117.4386 -0.38388,117.4403 -0.38354,117.4413 -0.38348,117.4429 -0.38366,117.4443 -0.38383,117.4461 -0.38407,117.4477 -0.38458,117.4493 -0.38539,117.4521 -0.38723,117.4547 -0.38951,117.4558 -0.39026,117.4571 -0.39073,117.4595 -0.39021,117.4612 -0.38908,117.4622 -0.38794,117.4632 -0.38617,117.4641 -0.38394,117.4646 -0.38189,117.4649 -0.37972,117.465 -0.37606,117.465 -0.37349,117.4648 -0.37115,117.4644 -0.36944,117.4636 -0.36801,117.4627 -0.36693,117.4619 -0.36624,117.4608 -0.36554,117.4593 -0.36497,117.4582 -0.36451,117.457 -0.36377,117.4561 -0.36268,117.4547 -0.36022,117.4527 -0.35542,117.4524 -0.35291,117.452 -0.35039,117.4519 -0.34702,117.45189 -0.34677,117.4513 -0.33966,117.4483 -0.33046,117.4477 -0.3276,117.4477 -0.32508,117.448 -0.32252,117.4488 -0.31926,117.449437 -0.316961,117.44971 -0.316975,117.452006 -0.311214,117.4514 -0.30688,117.4465 -0.30275,117.4448 -0.30069,117.444449 -0.300151,117.44011 -0.294651,117.4364 -0.29033,117.4353 -0.28919,117.4331 -0.28627,117.4308 -0.2829,117.428251 -0.278757,117.4272 -0.27717,117.4253 -0.27409,117.424777 -0.273111,117.423889 -0.271667,117.424007 -0.271667,117.4238 -0.27128,117.423785 -0.271228,117.42428 -0.271227,117.466219 -0.271227,117.466219 -0.396214,117.480106 -0.396214,117.480106 -0.566667,117.441988 -0.566667,117.441988 -0.582928,117.43369 -0.582928,117.43369 -0.607925,117.425391 -0.607925,117.425391 -0.624523,117.416992 -0.624523,117.416992 -0.632923,117.417053 -0.632983,117.417053 -0.641222,117.408693 -0.641222,117.408693 -0.649521,117.400394 -0.649521,117.400394 -0.65792,117.391995 -0.65792,117.391995 -0.666219,117.383696 -0.666219,117.383696 -0.674518,117.375397 -0.674518,117.375397 -0.682917,117.366998 -0.682917,117.366998 -0.691216,117.358699 -0.691216,117.358699 -0.75791,117.3504 -0.75791,117.3504 -0.766209,117.342001 -0.766209,117.342001 -0.774508,117.333702 -0.774508,117.333702 -0.799505,117.325403 -0.799505,117.325403 -0.841201,117.317004 -0.841201,117.317004 -0.849499,117.308705 -0.849498,117.308705 -0.857899,117.300406 -0.857899,117.300405 -0.882835,117.300402 -0.882835,117.300402 -0.882896,117.292007 -0.882896,117.292007 -0.899495,117.292013 -0.8995,117.283737 -0.8995,117.283708 -0.916193,117.275409 -0.916193,117.275409 -0.933902,117.247895 -0.908333)),((117.66666 -0.96139,117.66666 -1.10972,117.65 -1.14012,117.65 -1.01083,117.59302 -1.01083,117.60055 -1,117.81889 -0.50417,117.86222 -0.57111,117.66666 -0.96139)),((117.66666 -0.96139,117.823034 -0.649521,117.841939 -0.649521,117.841939 -0.671225,117.870335 -0.687017,117.843653 -0.741211,117.868959 -0.741211,117.858637 -0.760022,117.858637 -0.74951,117.850338 -0.74951,117.850338 -0.757909,117.841939 -0.757909,117.841939 -0.774508,117.850687 -0.774508,117.841524 -0.791206,117.818716 -0.791206,117.816942 -0.794762,117.816942 -0.799505,117.825341 -0.799505,117.825341 -0.807904,117.832361 -0.807904,117.827807 -0.816203,117.816942 -0.816203,117.816942 -0.836003,117.768384 -0.924492,117.752233 -0.924492,117.75035 -0.928267,117.75035 -0.949489,117.754666 -0.949489,117.736232 -0.982886,117.725219 -0.982886,117.725219 -0.991185,117.731683 -0.991185,117.713426 -1.024483,117.700356 -1.024482,117.700356 -1.016183,117.683658 -1.016183,117.683658 -1.007883,117.675359 -1.007883,117.675359 -1,117.666667 -1,117.66666 -0.96139)),((117.033739 -1.532729,117.033739 -1.52443,117.042138 -1.52443,117.042138 -1.51613,117.04217 -1.516098,117.067103 -1.5161,117.100429 -1.516097,117.100429 -1.532763,117.117096 -1.532762,117.1171 -1.599422,117.067106 -1.599424,117.067106 -1.616088,117.058736 -1.616088,117.058736 -1.599422,117.050437 -1.599422,117.050437 -1.591123,117.042138 -1.591123,117.042138 -1.582723,117.03374 -1.582723,117.03374 -1.574424,117.025441 -1.574424,117.025441 -1.532729,117.033739 -1.532729)),((117.000444 -1.432777,117.000444 -1.466106,117.01711 -1.466106,117.01711 -1.449441,117.050436 -1.449439,117.050436 -1.48277,117.033772 -1.482771,117.033772 -1.516098,117.033739 -1.51613,117.033739 -1.52443,117.017142 -1.52443,117.017142 -1.51613,116.983746 -1.51613,116.983746 -1.507731,116.975447 -1.507731,116.975447 -1.491133,116.983746 -1.491133,116.983746 -1.482734,116.992145 -1.482734,116.992145 -1.457737,116.983746 -1.457737,116.983746 -1.466136,116.967148 -1.466136,116.967148 -1.457737,116.95045 -1.457737,116.95045 -1.466136,116.923577 -1.466136,116.97859 -1.416112,116.983779 -1.416108,116.983779 -1.432776,117.000444 -1.432777)),((116.892157 -1.507731,116.925453 -1.507731,116.925453 -1.51613,116.942151 -1.51613,116.942151 -1.52443,116.975447 -1.52443,116.975447 -1.532729,117.017142 -1.532729,117.017142 -1.566125,116.983746 -1.566125,116.983746 -1.557726,116.95045 -1.557726,116.95045 -1.549427,116.933782 -1.549427,116.933783 -1.532763,116.925453 -1.532763,116.925453 -1.52443,116.900456 -1.52443,116.900456 -1.516097,116.892157 -1.516097,116.892157 -1.507731)))",,Mahakam
L100000317530,Mahogany East and Teak Oil and Gas Project (Ghana),,oil and gas,Ghana,,conventional,discovered,,2022,2011,,,Tullow,,,,L100000317530,https://www.gem.wiki/Mahogany_East_and_Teak_Oil_and_Gas_Project_(Ghana),,,,,,unknown,,,
L100000313120,Mamba Gas Project (Mozambique),,gas,Mozambique,,conventional,in-development,,2021,2011,2021,,Mozambique Rovuma Venture,Galp [10%]; Empresa Nacional de Hidrocarbonetos EP [10%]; Korea Gas Corp [10%]; Mozambique Rovuma Venture [70%],Eni SpA [28.0%]; Exxon Mobil Corp [28.0%]; China National Petroleum Corp [14.0%]; Empresa Nacional de Hidrocarbonetos EP [10.0%]; Galp Energia SGPS SA [10.0%]; Korea Gas Corp [10.0%],,"L100000317101, L100000317102, L100000317100",https://www.gem.wiki/Mamba_Gas_Project_(Mozambique),,-10.8753000,41.2086000,approximate,project level location,offshore,,,Area 4
L100000320698,"Manakin-Cocuina Gas Project (Venezuela, Trinidad and Tobago)",Manakin-Cocuina,gas,Venezuela,,conventional,discovered,early,2025,1983,,,BP Trinidad & Tobago,BP PLC,BP PLC,,"L100000318397, L100000320699","https://www.gem.wiki/Manakin-Cocuina_Gas_Project_(Venezuela,_Trinidad_and_Tobago)",Manakin-Coquina,9.9740000,-60.2949000,approximate,project level location,offshore,,,Block 5b
L100000305040,"Margarita - Huacaya Gas Project (Tarija, Bolivia)",Margarita - Huacaya,gas,Bolivia,Tarija,conventional,operating,,2024,1998,,2003,Repsol E&P Bolivia,PAE [25%]; Repsol SA [37%]; BG Bolivia [37%],Repsol SA [37.5%]; Shell PLC [37.5%]; BP PLC [12.5%]; Bridas Corp [12.5%],,L100000305040,"https://www.gem.wiki/Margarita_-_Huacaya_Gas_Project_(Tarija,_Bolivia)",,-21.2530000,-63.6550000,exact,project level location,onshore,,,Capipendi
L100000317408,Marigold Oil and Gas Project (United Kingdom),,oil and gas,United Kingdom,,conventional,discovered,,2024,2005,,,Anasuria Hibiscus UK,Caldera Petroleum [12%]; Hibiscus Petroleum Bhd [87%],Hibiscus Petroleum Bhd [87.5%]; Aban Energies Ltd [12.5%],UKCS: P198,L100000317408,https://www.gem.wiki/Marigold_Oil_and_Gas_Project_(United_Kingdom),,58.5471000,0.5955000,exact,project level location,offshore,,,15/13a; 15/13b
L100000320043,Marjan Oil and Gas Project (Saudi Arabia),مرجان,oil and gas,Saudi Arabia,,conventional,operating,,2024,1967,,1973,Saudi Arabian Oil,Saudi Arabian Oil Co [100%],Saudi Arabian Oil Co [100.0%],,"L100000319628, L100000314120, L100000319109, L100000319110, L100000320043",https://www.gem.wiki/Marjan_Oil_and_Gas_Project_(Saudi_Arabia),,28.4389000,49.6746000,approximate,project level location,offshore,,,
L100000318396,Matapal Oil and Gas Project (Trinidad and Tobago),,oil and gas,Trinidad and Tobago,,conventional,operating,,2022,,2018,2021,BP Trinidad & Tobago,BP Trinidad & Tobago LLC [100%],BP PLC [70.0%]; Repsol SA [30.0%],,"L100000317980, L100000318396, L100000310905",https://www.gem.wiki/Matapal_Oil_and_Gas_Project_(Trinidad_and_Tobago),,10.1188000,-60.3403000,approximate,project level location,offshore,"MULTIPOLYGON (((-60.1371924803471 10.1015303100969,-60.1383651526573 10.0986474906675,-60.1404661905465 10.097035066241,-60.1411013880479 10.0942988308504,-60.1418343082418 10.0920023475761,-60.1383162913111 10.0887286373767,-60.1349448584191 10.0872627969889,-60.1323063457211 10.0849663137147,-60.1297166943693 10.0867741835263,-60.1277622405189 10.0885820533379,-60.1265895682086 10.0954226418144,-60.1269804589787 10.1007485285567,-60.1308893666795 10.1026541210609,-60.1344073836103 10.103045011831,-60.1371924803471 10.1015303100969)))",,East Mayaro Block TT
L100000320993,"Meadow Creek East Oil Project (Alberta, Canada)",,oil,Canada,Alberta,unconventional,discovered,,2023,2023,,,Suncor Energy,Suncor Energy Inc,Suncor Energy Inc,,L100000320993,"https://www.gem.wiki/Meadow_Creek_East_Oil_Project_(Alberta,_Canada)",,56.3348000,-110.8378000,approximate,project level location,onshore,,,
L100000320407,Missan Oil Project (Iraq),,oil,Iraq,,conventional,operating,,2022,,,1976,CNOOC,CNOOC Ltd [63%]; Türkiye Petrolleri Anonim Ortakligi [11%]; Iraq Drilling Co [25%],CNOOC Ltd [63.8%]; Iraq Drilling Co [25.0%]; Türkiye Petrolleri Anonim Ortakligi [11.3%],,"L100000311948, L100000311959, L100000311977, L100000320407",https://www.gem.wiki/Missan_Oil_Project_(Iraq),,31.9000000,47.0333000,approximate,project level location,onshore,,,
L100000324174,MLNG Dua Gas Project (Malaysia),,gas,Malaysia,,conventional,operating,,2025,,,1995,Petronas Carigali,Petronas Carigali Sdn Bhd [90%]; E&P Malaysia Venture Sdn Bhd [10%],Petroliam Nasional Bhd [90.0%]; E&P Malaysia Venture Sdn Bhd [10.0%],,"L100000312083, L100000311945, L100000312024, L100000312082",https://www.gem.wiki/MLNG_Dua_Gas_Project_(Malaysia),,4.6333333,112.9841333,approximate,project level location,offshore,,,MLNG Dua
